Category,Level1,Level2,Level3,Level4,Federal,,GovXFer,State,Local,Total,goodsnum
#NAME?,Pensions,Sickness and disability,,,0,,0,0,0,0,1
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Special Benefits,0.38,b,,,,0.38,2
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Foreign Service Retirement and Disability Fund,0.893,b,,,,0.893,3
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Armed Forces Retirement Home,0.083,b,,,,0.083,4
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Military Retirement Fund,54.561,b,,,,54.561,5
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),"Reemployed Annuitants Salary Offset, Civil Service Retirement and Disability Fund",-0.052,b,,,,-0.052,6
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Civil Service Retirement and Disability Fund,0.105,b,,,,0.105,7
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Civil Service Retirement and Disability Fund,83.099,b,,,,83.099,8
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Employees Life Insurance Fund,-2.075,b,,,,-2.075,9
---Judicial Officers' Retirement Fund,Pensions,Old age,Federal employee retirement and disability (602),Judicial Officers' Retirement Fund,0.059,b,,,,0.059,10
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),"Reimbursement for Program Expenses, Federal Retirement Thrift Investment Board",-0.146,b,,,,-0.146,11
#NAME?,Pensions,Old age,Federal employee retirement and disability (602),Program Expenses,0.146,b,,,,0.146,12
#NAME?,Pensions,Old age,Social security (651),Payments to Social Security Trust Funds,61.661,b,,,,61.661,13
#NAME?,Pensions,Old age,Social security (651),"Administrative Expenses, Recovery Act",0.175,b,,,,0.175,14
"---FOASI, General Fund Payments for Payroll Tax Holiday (PL 111-312)",Pensions,Old age,Social security (651),"FOASI, General Fund Payments for Payroll Tax Holiday (PL 111312)",-25.456,b,,,,-25.456,15
#NAME?,Pensions,Old age,Social security (651),"FOASI, Federal Payments to the FOASI Trust Fund",-29.19,b,,,,-29.19,16
#NAME?,Pensions,Old age,Social security (651),Federal Oldage and Survivors Insurance Trust Fund,2.629,b,,,,2.629,17
#NAME?,Pensions,Old age,Social security (651),Federal Oldage and Survivors Insurance Trust Fund,676.467,b,,,,676.467,18
"---FDI, General Fund Payments for Payroll Tax Holiday (PL 111-312)",Pensions,Old age,Social security (651),"FDI, General Fund Payments for Payroll Tax Holiday (PL 111312)",-4.317,b,,,,-4.317,19
#NAME?,Pensions,Old age,Social security (651),"FDI, Federal Payments to the FDI Trust Fund",-2.495,b,,,,-2.495,20
#NAME?,Pensions,Old age,Social security (651),Federal Disability Insurance Trust Fund,3.026,b,,,,3.026,21
#NAME?,Pensions,Old age,Social security (651),Federal Disability Insurance Trust Fund,143.547,b,,,,143.547,22
#NAME?,Pensions,Old age,Social security (651),Limitation on Administrative Expenses,-0.16,b,,,,-0.16,23
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Postal Service Contributions for Current Workers, Postal Service Retiree Health Benefits Fund",-3.339,b,,,,-3.339,24
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","NonDoD Employing Agency Contributions, DoD MedicareEligible Retiree Health Care Fund",-0.196,b,,,,-0.196,25
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Department of Defense Contributions, DoD MedicareEligible Retiree Health Care Fund",-6.953,b,,,,-6.953,26
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","FHI Trust Fund, Federal Employer Contributions (FICA)",-3.649,b,,,,-3.649,27
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","FHI Trust Fund, Postal Service Employer Contributions (FICA)",-0.59,b,,,,-0.59,28
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employing Agency Contributions, Military Retirement Fund",-20.844,b,,,,-20.844,29
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Federal Contributions (concurrent Receipt Accruals), Military Retirement Fund",-6.95,b,,,,-6.95,30
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Agency Contributions, Civil Service Retirement and Disability Fund",-21.257,b,,,,-21.257,31
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Postal Service Agency Contributions, Civil Service Retirement and Disability Fund",-3.933,b,,,,-3.933,32
#NAME?,Pensions,Old age,"Employer share, employee retirement (onbudget) (951)","Employing Agency Contributions, Foreign Service Retirement and Disability Fund",-0.322,b,,,,-0.322,33
#NAME?,Pensions,Old age,"Employer share, employee retirement (offbudget) (952)","FOASI, Federal Employer Contributions (FICA Taxes)",-14.103,b,,,,-14.103,34
#NAME?,Pensions,Old age,"Employer share, employee retirement (offbudget) (952)","FDI, Federal Employer Contributions (FICA Taxes)",-2.395,b,,,,-2.395,35
#NAME?,Pensions,Old age,Employee Retirement  Benefit Payments (X11),,0,g,0,186.3,42.6,228.9,36
#NAME?,Pensions,Old age,Employee Retirement  Withdrawals (X12),,0,g,0,4.5,0.9,5.4,37
--Employee Retirement - Other Payments (Disc. 2005) (X14),Pensions,Old age,Employee Retirement  Other Payments (Disc. 2005) (X14),,0,,0,0,0,0,38
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"Federal Contributions, FSMI Fund",-194.019,b,,,,-194.019,39
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"Premiums Collected for Medicare Prescription Drug Account, FSMI",-4.082,b,,,,-4.082,40
#NAME?,Health Care,Medical service (Seniors),Medicare (571),"Payments from States, Medicare Prescription Drug Account, FSMI",-8.985,b,,,,-8.985,41
